| infectadas: 15.0 | suseptibles a infectarse: 5.0 | Recuperados: 0.0

Persona	time	x	y
Persona 5	3.400000000000001	13.0	32.0
Persona 6	3.400000000000001	20.0	93.0
Persona 7	3.400000000000001	24.0	38.0
Persona 8	3.400000000000001	48.0	36.0
Persona 9	3.400000000000001	75.0	45.0
Persona 10	3.400000000000001	8.0	83.0
Persona 11	3.400000000000001	45.0	77.0
Persona 12	3.400000000000001	79.0	91.0
Persona 13	3.400000000000001	70.0	91.0
Persona 14	3.400000000000001	62.0	41.0
Persona 15	3.400000000000001	84.0	60.0
Persona 16	3.400000000000001	84.0	42.0
Persona 17	3.400000000000001	58.0	89.0
Persona 18	3.400000000000001	99.0	13.0
Persona 19	3.400000000000001	35.0	64.0
Persona 20	3.400000000000001	6.0	42.0
Persona 1	3.600000000000001	42.0	1.0
Persona 2	3.600000000000001	15.0	9.0
Persona 3	3.600000000000001	100.0	82.0
Persona 4	3.600000000000001	52.0	69.0
Persona 5	3.600000000000001	12.0	33.0
Persona 6	3.600000000000001	21.0	93.0
Persona 7	3.600000000000001	24.0	39.0
Persona 8	3.600000000000001	49.0	37.0
Persona 9	3.600000000000001	76.0	44.0
Persona 10	3.600000000000001	7.0	83.0
Persona 11	3.600000000000001	46.0	78.0
Persona 12	3.600000000000001	78.0	92.0
Persona 13	3.600000000000001	71.0	90.0
Persona 14	3.600000000000001	62.0	42.0
Persona 15	3.600000000000001	85.0	59.0
Persona 16	3.600000000000001	85.0	41.0
Persona 17	3.600000000000001	59.0	88.0
Persona 18	3.600000000000001	98.0	14.0
Persona 19	3.600000000000001	36.0	64.0
Persona 20	3.600000000000001	5.0	43.0
Persona 1	3.800000000000001	43.0	0.0
Persona 2	3.800000000000001	14.0	10.0
Persona 3	3.800000000000001	100.0	83.0
Persona 4	3.800000000000001	53.0	70.0
Persona 5	3.800000000000001	11.0	34.0
Persona 6	3.800000000000001	22.0	94.0
Persona 7	3.800000000000001	24.0	40.0
Persona 8	3.800000000000001	49.0	38.0
Persona 9	3.800000000000001	77.0	43.0
Persona 10	3.800000000000001	6.0	82.0
Persona 11	3.800000000000001	46.0	79.0
Persona 12	3.800000000000001	77.0	93.0
Persona 13	3.800000000000001	72.0	89.0
