| infectadas: 15.0 | suseptibles a infectarse: 5.0 | Recuperados: 0.0

Persona	time	x	y
Persona 20	4.800000000000002	29.0	100.0
Persona 1	5.000000000000002	61.0	97.0
Persona 2	5.000000000000002	24.0	68.0
Persona 3	5.000000000000002	36.0	27.0
Persona 4	5.000000000000002	51.0	57.0
Persona 5	5.000000000000002	59.0	82.0
Persona 6	5.000000000000002	50.0	57.0
Persona 7	5.000000000000002	53.0	25.0
Persona 8	5.000000000000002	98.0	71.0
Persona 9	5.000000000000002	33.0	8.0
Persona 10	5.000000000000002	51.0	61.0
Persona 11	5.000000000000002	71.0	54.0
Persona 12	5.000000000000002	100.0	56.0
Persona 13	5.000000000000002	39.0	35.0
Persona 14	5.000000000000002	12.0	0.0
Persona 15	5.000000000000002	27.0	90.0
Persona 16	5.000000000000002	4.0	47.0
Persona 17	5.000000000000002	81.0	87.0
Persona 18	5.000000000000002	95.0	89.0
Persona 19	5.000000000000002	41.0	22.0
Persona 20	5.000000000000002	28.0	99.0
Persona 1	5.200000000000002	60.0	97.0
Persona 2	5.200000000000002	23.0	68.0
Persona 3	5.200000000000002	37.0	26.0
Persona 4	5.200000000000002	52.0	57.0
Persona 5	5.200000000000002	58.0	81.0
Persona 6	5.200000000000002	51.0	57.0
Persona 7	5.200000000000002	53.0	24.0
Persona 8	5.200000000000002	97.0	72.0
Persona 9	5.200000000000002	33.0	9.0
Persona 10	5.200000000000002	50.0	60.0
Persona 11	5.200000000000002	70.0	55.0
Persona 12	5.200000000000002	100.0	57.0
Persona 13	5.200000000000002	40.0	35.0
Persona 14	5.200000000000002	13.0	0.0
Persona 15	5.200000000000002	27.0	91.0
Persona 16	5.200000000000002	3.0	46.0
Persona 17	5.200000000000002	80.0	87.0
Persona 18	5.200000000000002	94.0	88.0
Persona 19	5.200000000000002	42.0	22.0
Persona 20	5.200000000000002	27.0	98.0
Persona 1	5.400000000000002	59.0	96.0
Persona 2	5.400000000000002	22.0	67.0
Persona 3	5.400000000000002	38.0	25.0
Persona 4	5.400000000000002	53.0	58.0
Persona 5	5.400000000000002	58.0	80.0
Persona 6	5.400000000000002	52.0	58.0
Persona 7	5.400000000000002	53.0	23.0
Persona 8	5.400000000000002	96.0	73.0
Persona 9	5.400000000000002	33.0	10.0
Persona 10	5.400000000000002	50.0	59.0
Persona 11	5.400000000000002	69.0	56.0
Persona 12	5.400000000000002	100.0	58.0
Persona 13	5.400000000000002	41.0	36.0
Persona 14	5.400000000000002	14.0	1.0
Persona 15	5.400000000000002	27.0	92.0
Persona 16	5.400000000000002	3.0	45.0
Persona 17	5.400000000000002	79.0	86.0
Persona 18	5.400000000000002	94.0	87.0
Persona 19	5.400000000000002	43.0	23.0
Persona 20	5.400000000000002	27.0	97.0
Persona 1	5.600000000000002	58.0	95.0
Persona 2	5.600000000000002	21.0	66.0
Persona 3	5.600000000000002	39.0	25.0
Persona 4	5.600000000000002	54.0	59.0
Persona 5	5.600000000000002	58.0	79.0
Persona 6	5.600000000000002	53.0	59.0
Persona 7	5.600000000000002	54.0	22.0
Persona 8	5.600000000000002	95.0	73.0
Persona 9	5.600000000000002	32.0	11.0
Persona 10	5.600000000000002	50.0	58.0
Persona 11	5.600000000000002	68.0	56.0
Persona 12	5.600000000000002	99.0	59.0
